1	1	0.000000	Normal
1	2	0.198669	Normal
1	3	0.389418	Normal
1	4	0.564642	Normal
1	5	0.717356	Normal
1	6	0.841471	Normal
1	7	0.932039	Normal
1	8	0.985450	Normal
1	9	0.999574	Normal
1	10	0.973848	Normal
1	11	0.909297	Normal
1	12	0.808496	Normal
1	13	0.675463	Normal
1	14	0.515501	Normal
1	15	0.334988	Normal
1	16	0.141120	Normal
1	17	-0.058374	Normal
1	18	-0.255541	Normal
1	19	-0.442520	Normal
1	20	-0.611858	Normal
1	21	-0.756802	Normal
1	22	-0.871576	Normal
1	23	-0.951602	Normal
1	24	-0.993691	Normal
1	25	-0.996165	Normal
1	26	-0.958924	Normal
1	27	-0.883455	Normal
1	28	-0.772764	Normal
1	29	-0.631267	Normal
1	30	-0.464602	Normal
1	31	-0.279415	Normal
1	32	-0.083089	Normal
2	1	0.000000	Normal
2	2	0.194709	Normal
2	3	0.381656	Normal
2	4	0.553387	Normal
2	5	0.703057	Normal
2	6	0.824698	Normal
2	7	0.913460	Normal
2	8	0.965806	Normal
2	9	0.979649	Normal
2	10	0.954436	Normal
2	11	0.891172	Normal
2	12	0.792380	Normal
2	13	0.661999	Normal
2	14	0.505226	Normal
2	15	0.328311	Normal
2	16	0.138307	Normal
2	17	-0.057211	Normal
2	18	-0.250447	Normal
2	19	-0.433699	Normal
2	20	-0.599661	Normal
2	21	-0.741717	Normal
2	22	-0.854202	Normal
2	23	-0.932633	Normal
2	24	-0.973883	Normal
2	25	-0.976308	Normal
2	26	-0.939810	Normal
2	27	-0.865844	Normal
2	28	-0.757361	Normal
2	29	-0.618683	Normal
2	30	-0.455341	Normal
2	31	-0.273846	Normal
2	32	-0.081433	Normal
3	1	0.000000	Normal
3	2	0.182987	Normal
3	3	0.358678	Normal
3	4	0.520070	Normal
3	5	0.660729	Normal
3	6	0.775046	Normal
3	7	0.858465	Normal
3	8	0.907659	Normal
3	9	0.920668	Normal
3	10	0.896973	Normal
3	11	0.837518	Normal
3	12	0.744675	Normal
3	13	0.622143	Normal
3	14	0.474808	Normal
3	15	0.308545	Normal
3	16	0.129980	Normal
3	17	-0.053766	Normal
3	18	-0.235369	Normal
3	19	-0.407588	Normal
3	20	-0.563558	Normal
3	21	-0.697061	Normal
3	22	-0.802774	Normal
3	23	-0.876484	Normal
3	24	-0.915250	Normal
3	25	-0.917528	Normal
3	26	-0.883228	Normal
3	27	-0.813716	Normal
3	28	-0.711763	Normal
3	29	-0.581435	Normal
3	30	-0.427927	Normal
3	31	-0.257359	Normal
3	32	-0.076530	Normal
4	1	0.000000	Normal
4	2	0.163969	Normal
4	3	0.321401	Normal
4	4	0.466020	Normal
4	5	0.592060	Normal
4	6	0.694496	Normal
4	7	0.769245	Normal
4	8	0.813327	Normal
4	9	0.824984	Normal
4	10	0.803751	Treasure
4	11	0.750476	Normal
4	12	0.667281	Normal
4	13	0.557484	Normal
4	14	0.425462	Normal
4	15	0.276478	Normal
4	16	0.116471	Normal
4	17	-0.048178	Normal
4	18	-0.210907	Normal
4	19	-0.365228	Normal
4	20	-0.504988	Normal
4	21	-0.624616	Normal
4	22	-0.719343	Normal
4	23	-0.785391	Normal
4	24	-0.820129	Normal
4	25	-0.822170	Normal
4	26	-0.791434	Normal
4	27	-0.729147	Normal
4	28	-0.637790	Normal
4	29	-0.521007	Normal
4	30	-0.383453	Normal
4	31	-0.230612	Normal
4	32	-0.068577	Normal
5	1	0.000000	Normal
5	2	0.138414	Normal
5	3	0.271310	Normal
5	4	0.393390	Normal
5	5	0.499787	Normal
5	6	0.586258	Normal
5	7	0.649358	Normal
5	8	0.686569	Normal
